,author,dik_sents_TFIDF_10
175,Polycarp,"οὗτος, ἐντολή, πτωχός, διώκω, θεάομαι, ἀδελφός, ἐπιτρέπω, προεπεκαλέσασθέ, τὶς, πληρόω"
35,Paul of Tarsus,"πίστις, ἁμαρτία, νόμος, λογίζομαι, θεός, βασιλεύω, δοῦλος, παρίστημι, πιστεύω, Χριστός"
156,Clemens Romanus,"καυχάομαι, πίστις, πύλη, θεός, δύσις, ἀγάπη, πατήρ, ὑπομονή, ἄνθρωπος, Ἀβραάμ"
130,Pseudo-Justinus Martyr,"ἐκεῖνος, πῦρ, πολύς, ἐφηδόμενος, ἁμάρτημα, ἀνεχόμενος, συνευδοκέω, ἐλεγχθέντες, ἀνάξιος, καλύπτω"
152,Barnabas,"ὁδός, σκότος, ἀγαθός, σύνοιδα, ἐπίσταμαι, συνώδευσεν, ἀναγκάζω, ἀνατελεῖ, προπορεύσεται, περιστελεῖ"
164,Hermas,"ἄγγελος, ἐργάζομαι, ἀρετή, ἔργον, ἀλήθεια, πονηρία, εἰμί, πίστις, ὅμοιος, ποιέω"
36,Pauline literature,"ἀλήθεια, διώκω, ἐνδύω, φῶς, ἐπιθυμία, ἄνθρωπος, σωτήρ, εἰρήνη, πίστις, φθείρω"
37,GNT rest,"βασιλεύς, πίστις, δίκαιος, Σαλήμ, βραδύς, φείδομαι, Ἀβραάμ, εἰρήνη, ὑποστρέφω, κατακρίνω"
158,Didache,"διῶκται, ψεῦδος, κύριος, ἀγαπῶντες, μισθός, προστίθημι, δέχομαι, ἀλήθεια, γνῶσις, ἀγαθός"
129,Justinus Martyr,"κρίσις, θεός, εἰρήνη, δίδωμι, εὐσέβεια, πεπεδημένους, γένος, ἀνομία, φῶς, ὀφθαλμός"
150,Athenagoras,"δίδωμι, νόμος, ψυχή, ἄνθρωπος, ἔχω, ἀποχή, κρίσις, ἀρετή, ἀγαθός, ἴσος"
205,Origenes,"θεός, σοφία, εἰμί, δίκαιος, Χριστός, ἀλήθεια, ποιέω, σωφροσύνη, λόγος, ἥλιος"
179,Theophilus Antiochenus,"νόμος, βραβεύω, ἀδικία, πράσσω, προφήτης, ἁμαρτία, ζῶ, ἅγιος, θεός, σοφία"
31,Matthew,"βασιλεία, μακάριος, πρέπω, πεινῶντες, διψῶντες, δεδιωγμένοι, προστίθημι, χορτάζω, οὐρανός, περισσεύω"
100,Clement of Alexandria,"θεός, ἀγαθός, ἄνθρωπος, εἰμί, πᾶς, ἀρετή, ἴσος, οὗτος, ποιέω, λέγω"
192,Eusebius,"θεός, ἀδικία, εὐσέβεια, πᾶς, ἀρετή, λέγω, κύριος, ἁμαρτία, βασιλεύς, ἀνατελεῖ"
34,Johnannine literature,"δίκαιος, ποιέω, ἐλέγχω, κρίσις, εἰμί, γεννάω, θεωρέω, ἁμαρτία, ὑπάγω, ἀδελφός"
193,Epiphanius,"νόμος, ἔρχομαι, ἀγαθός, ἀνίστημι, σάρξ, ἁμαρτία, Χριστός, πίστις, θεός, πιστεύω"
200,Athanasius of Alexandria,"ἀγαπάω, μισέω, ἀδικία, αὐτός, ὁσιότης, ἀδικίανʼ, ἁρπάγματα, εἰμί, ἀναγγέλλω, κύριος"
33,Luke (the evangelist),"ἐχθρός, ἅγιος, πᾶς, σωτηρία, πατήρ, στόμα, πίμπλημι, μέλλω, εὐλογητός, κέρας"
194,Gregorius Nazianzenus,"εἰρήνη, ἀγάπη, χείρων, βασιλεύς, ἄρχω, σῶμα, ἐπαινουμένας, ἀδικία, ἐπιτεινομένας, προσγινομένας"
166,Ignatius Antiochenus,"Ἰωάν(ν)ης, πληρόω"
203,Basil,"σοφία, κρίμα, στέφανος, θεός, δίκαιος, γενικαῖς, ὑποδιαιρούμεναι, πλημμελέω, μιμνῄσκομαι, ἔμπροσθενἔμπροσθεν"
212,Hippolytus,"μείωσιν, ὑπερβολή, σωφροσύνη, ἀνδρεία, φρόνησις, ἀρετή, κακία, ὁρίζω, ἀνήρ, οἷος"
107,Maximus of Tyre,"ἀδικία, οὗτος, τύραννος, ἐλευθερωτής, βεβαιωτής, κατορθωτὴς, τίκτοντι, διορίζων, οὐτος, ἐπανέστησεν"
167,Irenaeus,"ὁμολογήσαντα, θελήσαντα, ἡττηθέντα, κᾀκεῖνον, πλοῦτος, γίγνομαι, μέρος, ἀκολουθέω, τέλειος, γένος"
21,Philo Judaeus,"φρόνησις, ἀρετή, σωφροσύνη, ἀνδρεία, ἰσότης, ἀδικία, εἰμί, ὁσιότης, ἄλλος, ἀγαθός"
83,Flavius Josephus,"εὐσέβεια, θεός, εἰμί, ἀρετή, δόξα, πολύς, ἀμάνου, ἄλλος, οὗτος, ἀνήρ"
